,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,chadiza,100,ZM,1578279600,94,-14.06,32.43,62.74,1.79
1,bilibino,0,RU,1578279600,69,68.06,166.44,-12.50,1.9
2,yellowknife,23,CA,1578279600,94,62.45,-114.38,-18.09,7.2
3,carnarvon,70,ZA,1578279600,83,-30.97,22.13,59.14,7.05
4,esperance,0,AU,1578279600,55,-33.86,121.89,79.97,3.0
5,vao,100,EE,1578279600,95,59.10,26.19,31.05,14.88
6,albany,74,US,1578279600,78,42.65,-73.75,24.12,6.08
7,saldanha,0,PT,1578279600,83,41.42,-6.55,34.57,0.89
8,lompoc,100,US,1578279600,54,34.64,-120.46,58.12,21.05
9,hasaki,0,JP,1578279600,48,35.73,140.83,48.65,8.75
10,jamestown,74,AU,1578279600,54,-33.21,138.60,74.68,1.63
11,lorengau,87,PG,1578279600,69,-2.02,147.27,85.50,8.05
12,vaini,98,IN,1578279600,84,15.34,74.49,69.01,10.47
13,cabedelo,100,BR,1578279600,86,-6.97,-34.84,78.42,3.31
14,mahebourg,100,MU,1578279600,90,-20.41,57.70,75.81,10.89
15,ushuaia,99,AR,1578279600,95,-54.81,-68.31,43.32,4.81
16,saint-philippe,8,CA,1578279600,92,45.36,-73.48,15.15,3.62
17,iqaluit,100,CA,1578279600,86,63.75,-68.52,-18.67,7.96
18,huambo,100,AO,1578279600,97,-12.78,15.73,58.75,2.08
19,rikitea,29,PF,1578279600,77,-23.12,-134.97,76.48,16.73
20,torbay,100,CA,1578279600,97,47.66,-52.73,30.97,37.83
21,curup,62,ID,1578279600,64,-3.47,102.53,81.37,0.72
22,tasiilaq,100,GL,1578279600,91,65.61,-37.64,21.60,36.51
23,libourne,0,FR,1578279600,93,44.91,-0.24,36.16,4.14
24,yerbogachen,100,RU,1578279600,92,61.28,108.01,10.94,11.5
25,vestmannaeyjar,100,IS,1578279600,89,63.44,-20.27,42.76,11.05
26,biak,100,ID,1578279600,89,-0.91,122.88,76.64,8.08
27,dingle,95,PH,1578279600,85,11.00,122.67,79.56,16.35
28,hobart,0,AU,1578279600,78,-42.88,147.33,63.84,13.04
29,hermanus,100,ZA,1578279600,67,-34.42,19.24,64.31,9.24
30,bluff,52,AU,1578279600,36,-23.58,149.07,92.01,14.12
31,shirokiy,8,RU,1578279600,88,53.87,39.17,24.55,5.37
32,ino,0,JP,1578279600,42,33.55,133.43,51.01,2.82
33,kuantan,18,MY,1578279600,79,3.82,103.33,79.21,15.32
34,tiksi,0,RU,1578279600,85,71.64,128.87,-11.60,13.56
35,hilo,11,US,1578279600,83,19.71,-155.08,70.32,9.89
36,labuhan,95,ID,1578279600,66,-2.54,115.51,85.21,4.41
37,kodiak,72,US,1578279600,67,39.95,-94.76,36.34,6.58
38,denpasar,94,ID,1578279600,71,-8.65,115.22,84.87,5.86
39,sale,100,AU,1578279600,94,-38.11,147.06,56.61,3.29
40,salalah,73,OM,1578279600,85,17.01,54.10,73.83,2.13
41,lata,100,IN,1578279600,76,30.78,78.62,19.11,2.48
42,barreiras,93,BR,1578279600,96,-12.14,-45.00,69.31,0.58
43,mataura,100,NZ,1578279600,93,-46.19,168.86,49.84,19.55
44,bubaque,0,GW,1578279600,48,11.28,-15.83,76.53,16.33
45,vozhega,0,RU,1578279600,91,60.47,40.21,11.57,3.71
46,tuktoyaktuk,20,CA,1578279600,98,69.44,-133.03,-21.78,3.98
47,sitka,0,US,1578279600,41,37.17,-99.65,40.96,7.0
48,bongandanga,100,CD,1578279600,74,1.51,21.07,69.42,1.14
49,tautira,89,PF,1578279600,75,-17.73,-149.15,86.50,13.67
50,constitucion,67,MX,1578279600,24,23.99,-104.67,59.22,0.54
51,bethel,26,US,1578279600,92,60.79,-161.76,-19.57,11.56
52,busselton,55,AU,1578279600,42,-33.64,115.35,76.62,9.6
53,kapaa,29,US,1578279600,80,22.08,-159.32,75.09,10.36
54,lebu,27,ET,1578279600,83,8.96,38.73,50.76,0.81
55,barrow,100,AR,1578279600,91,-38.31,-60.23,62.02,6.38
56,avarua,100,CK,1578279600,71,-21.21,-159.78,81.45,2.33
57,nikolskoye,100,RU,1578279600,74,59.70,30.79,27.50,8.3
58,kodinsk,86,RU,1578279600,94,58.60,99.18,19.89,7.34
59,sambava,100,MG,1578279600,96,-14.27,50.17,71.40,2.3
60,beaverlodge,0,CA,1578279600,68,55.21,-119.43,29.10,15.61
61,nyahururu,28,KE,1578279600,90,0.03,36.37,53.01,4.12
62,ploemeur,0,FR,1578279600,80,47.73,-3.43,47.07,14.0
63,touros,66,BR,1578279600,82,-5.20,-35.46,80.47,16.53
64,victoria,2,BN,1578279600,78,5.28,115.24,80.60,8.86
65,castro,42,CL,1578279600,97,-42.48,-73.76,50.56,4.05
66,lar,0,IR,1578279600,90,27.66,54.32,46.22,3.6
67,chuy,0,UY,1578279600,85,-33.69,-53.46,69.40,12.68
68,pombas,78,BR,1578279600,93,-15.90,-54.74,72.27,5.86
69,sola,58,TZ,1578279600,92,-3.17,33.80,63.09,4.74
70,zhigansk,99,RU,1578279600,93,66.77,123.37,-10.25,19.06
71,faanui,17,PF,1578279600,76,-16.48,-151.75,82.06,12.44
72,fukuma,96,JP,1578279600,60,33.77,130.47,51.75,9.37
73,yumen,100,CN,1578279600,53,40.29,97.04,21.74,13.35
74,mangan,41,IN,1578279600,33,27.50,88.54,43.79,2.19
75,okhotsk,0,RU,1578279600,79,59.36,143.24,5.49,8.95
76,bereznik,0,RU,1578279600,93,62.86,42.71,10.72,4.56
77,katsuura,0,JP,1578279600,52,33.93,134.50,47.89,5.59
78,kavieng,64,PG,1578279600,69,-2.57,150.80,85.55,7.7
79,dubrovnik,0,HR,1578279600,54,42.65,18.09,42.91,33.64
80,atuona,62,PF,1578279600,75,-9.80,-139.03,80.46,8.79
