,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,ulaanbaatar,0,MN,1578366000,80,47.92,106.92,3.07,0.4
1,busselton,0,AU,1578366000,46,-33.64,115.35,76.95,8.99
2,sungaipenuh,42,ID,1578366000,66,-2.08,101.38,74.32,3.74
3,bredasdorp,85,ZA,1578366000,81,-34.53,20.04,63.25,8.57
4,ushuaia,100,AR,1578366000,98,-54.81,-68.31,48.31,4.5
5,lebu,8,ET,1578366000,95,8.96,38.73,51.69,1.23
6,faanui,100,PF,1578366000,79,-16.48,-151.75,82.20,16.62
7,mataura,96,NZ,1578366000,88,-46.19,168.86,55.78,8.39
8,vaini,19,IN,1578366000,87,15.34,74.49,68.65,7.96
9,coquimbo,0,CL,1578366000,88,-29.95,-71.34,67.50,1.57
10,upernavik,100,GL,1578366000,97,72.79,-56.15,-6.34,7.54
11,hasaki,99,JP,1578366000,70,35.73,140.83,51.84,17.67
12,bundaberg,44,AU,1578366000,55,-24.87,152.35,85.41,9.82
13,rikitea,0,PF,1578366000,77,-23.12,-134.97,77.13,13.06
14,naze,100,NG,1578366000,82,5.43,7.07,73.51,0.85
15,karabash,83,RU,1578366000,95,55.49,60.21,10.98,0.4
16,albany,99,US,1578366000,90,42.65,-73.75,30.69,6.98
17,tapes,17,BR,1578366000,93,-30.67,-51.40,68.29,3.8
18,anloga,8,GH,1578366000,62,5.79,0.90,78.67,5.64
19,vardo,31,US,1578366000,68,39.62,-77.74,35.53,6.44
20,skibbereen,100,IE,1578366000,84,51.55,-9.27,50.81,22.44
21,margate,100,AU,1578366000,81,-43.03,147.26,66.29,15.99
22,esperance,0,AU,1578366000,47,-33.86,121.89,82.74,4.63
23,tiksi,100,RU,1578366000,87,71.64,128.87,-1.98,17.58
24,hobart,100,AU,1578366000,81,-42.88,147.33,66.16,15.99
25,hilo,25,US,1578366000,78,19.71,-155.08,69.80,12.1
26,yellowknife,90,CA,1578366000,96,62.45,-114.38,-21.48,7.43
27,pisco,34,PE,1578366000,86,-13.71,-76.20,68.45,0.85
28,georgetown,9,GY,1578366000,73,6.80,-58.16,79.14,13.94
29,barrow,0,AR,1578366000,73,-38.31,-60.23,56.39,5.5
30,victoria,68,BN,1578366000,77,5.28,115.24,80.28,5.61
31,rosarito,4,CO,1578366000,87,4.91,-75.23,69.66,4.81
32,srandakan,100,ID,1578366000,68,-7.94,110.25,84.04,9.01
33,padilla,1,CO,1578366000,93,3.23,-76.31,74.75,1.74
34,hermanus,95,ZA,1578366000,78,-34.42,19.24,65.32,21.47
35,lasa,97,CY,1578366000,86,34.92,32.53,55.98,16.35
36,lorengau,52,PG,1578366000,74,-2.02,147.27,84.72,10.18
37,bambanglipuro,100,ID,1578366000,68,-7.95,110.28,84.04,9.01
38,kamaishi,86,JP,1578366000,35,39.28,141.86,37.99,3.31
39,linxi,98,CN,1578366000,66,23.65,116.70,72.54,2.06
40,lata,100,IN,1578366000,94,30.78,78.62,18.61,2.21
41,mahebourg,1,MU,1578366000,79,-20.41,57.70,78.80,2.21
42,bethel,0,US,1578366000,92,60.79,-161.76,-18.47,11.34
43,hithadhoo,100,MV,1578366000,77,-0.60,73.08,83.50,13.87
44,butaritari,100,KI,1578366000,76,3.07,172.79,85.15,15.59
45,perth,0,AU,1578366000,25,-31.95,115.86,87.57,6.96
46,baykit,99,RU,1578366000,96,61.68,96.39,5.20,3.38
47,namibe,90,AO,1578366000,82,-15.19,12.15,71.53,5.73
48,sitka,0,US,1578366000,31,37.17,-99.65,42.15,9.6
49,souillac,100,FR,1578366000,93,45.60,-0.60,46.53,7.65
50,fethiye,100,TR,1578366000,68,36.62,29.12,53.82,6.85
