,City,Cloudiness,Country,Date(YYYY-MM-DD),Humidity,Lat,Lng,Max Temp,Wind Speed
0,barrow,0,AR,2020-01-08,44,-38.31,-60.23,67.51,9.84
1,thompson,99,CA,2020-01-08,94,55.74,-97.86,-12.33,5.68
2,saint-philippe,100,CA,2020-01-08,90,45.36,-73.48,25.59,4.36
3,zambezi,91,ZM,2020-01-08,95,-13.55,23.12,64.80,3.78
4,upernavik,100,GL,2020-01-08,72,72.79,-56.15,-14.17,4.5
5,acapulco,0,MX,2020-01-08,79,16.86,-99.88,76.69,2.15
6,naberera,99,TZ,2020-01-08,87,-4.20,36.93,67.77,5.73
7,kholm,38,AF,2020-01-07,88,36.69,67.70,35.01,2.75
8,faya,0,SA,2020-01-07,64,18.39,42.45,58.35,10.76
9,ushuaia,100,AR,2020-01-08,97,-54.81,-68.31,47.21,4.25
10,ouadda,15,CF,2020-01-08,29,8.07,22.40,69.91,5.64
11,worland,90,US,2020-01-08,71,44.02,-107.96,34.43,6.82
12,yellowknife,76,CA,2020-01-08,99,62.45,-114.38,-29.74,2.04
13,saldanha,54,PT,2020-01-08,75,41.42,-6.55,38.93,1.68
14,hithadhoo,98,MV,2020-01-08,76,-0.60,73.08,83.32,11.1
15,jamestown,0,AU,2020-01-08,22,-33.21,138.60,81.64,14.54
16,busselton,27,AU,2020-01-08,73,-33.64,115.35,67.10,6.73
17,iberia,48,PE,2020-01-07,45,-11.41,-69.49,91.18,5.41
18,kieta,58,PG,2020-01-08,70,-6.22,155.63,85.10,3.62
19,mpulungu,100,ZM,2020-01-08,92,-8.77,31.12,62.47,2.06
20,nikolskoye,100,RU,2020-01-08,91,59.70,30.79,37.78,9.53
21,minot,70,US,2020-01-08,91,48.23,-101.30,0.97,6.44
22,jinchang,100,CN,2020-01-08,65,38.52,102.19,16.54,1.92
23,marrakesh,0,MA,2020-01-07,58,31.63,-7.99,51.49,1.74
24,castro,89,CL,2020-01-08,91,-42.48,-73.76,51.69,8.72
25,esperance,0,AU,2020-01-08,83,-33.86,121.89,69.51,9.64
